player_id,team,opp,pos,name,fpts,proj_own,ceil,floor,min_exposure,max_exposure
1844330,BUF,MIA,WR,Gabriel Davis,2.68,0.1,5.92,0.05,0,100
37069,SFO,NYJ,TE,George Kittle,0,,,,0,100
982728,LVR,NOS,TE,Foster Moreau,1.56,,3.12,0.03,0,100
36949,TEN,JAC,WR,Corey Davis,11.65,18.9,18.99,3.15,0,100
35666,CAR,TBB,WR,Pharoh Cooper,0.24,0.1,0.49,0.02,0,100
18421,CLE,CIN,DST,Browns,6.99,,13.63,1.19,0,100
21803,BAL,HOU,WR,DeAndrew White,0,,,,0,100
36989,ATL,DAL,RB,Brian Hill,4.86,0.1,8.55,0.68,0,100
1001771,WAS,ARI,WR,Steven Sims Jr.,9.17,0.7,17.06,1.1,0,100
328187,PIT,DEN,RB,Jaylen Samuels,4.05,0.1,2.63,1.82,0,100
36933,ARI,WAS,TE,Darrell Daniels,0.86,0.1,1.76,0.06,0,100
982232,MIA,BUF,WR,Preston Williams,9.91,1.7,17.05,1.39,0,100
329006,SFO,NYJ,WR,Dante Pettis,2.3,0.1,5.22,1.31,0,100
972721,NEP,SEA,T5,N'Keal Harry,9.97,,17.85,3.09,0,100
21702,SFO,NYJ,RB,Raheem Mostert,14.56,9,25.92,5.24,0,100
36941,TBB,CAR,RB,Leonard Fournette,7.96,2.1,16.88,1.99,0,100
21686,LVR,NOS,QB,Marcus Mariota,0,,,,0,100
21634,LVR,NOS,TE,Nick O'Leary,0,,,,0,100
16587,SFO,NYJ,TE,Jordan Reed,4.23,5.1,9.31,0.13,0,100
18330,LVR,NOS,T1,Derek Carr,16.36,,24.87,8.02,0,100
37003,TBB,CAR,TE,Antony Auclair,0,,,,0,100
982342,IND,MIN,WR,Parris Campbell,12.51,11.5,24.52,2.13,0,100
328426,CAR,TBB,RB,Trenton Cannon,0.04,,0.08,0.01,0,100
1849781,LAR,PHI,WR,Trishton Jackson,0,,,,0,100
36919,JAC,TEN,RB,Dare Ogunbowale,0,,,,0,100
328094,BAL,HOU,RB,Gus Edwards,1.39,0.1,2.97,0.33,0,100
21635,CAR,TBB,TE,Chris Manhertz,1.15,0.1,2.36,0.08,0,100
16566,LAR,PHI,WR,Robert Woods,15.91,4.1,26.89,3.98,0,100
1844218,CHI,NYG,WR,Darnell Mooney,1.54,0.1,3.08,0.03,0,100
11603,IND,MIN,QB,Philip Rivers,18.03,2.1,28.49,9.74,0,100
1844458,HOU,BAL,WR,Isaiah Coulter,0,,,,0,100
13126,ATL,DAL,TE,Luke Stocker,0.04,0.1,0.08,0,0,100
982111,DET,GBP,RB,Ty Johnson,0.01,,0.02,0,0,100
509432,CLE,CIN,WR,KhaDarel Hodge,2.58,,5.11,0,0,100
982321,HOU,BAL,RB,Cullen Gillaspia,0,,,,0,100
1844126,CIN,CLE,QB,Joe Burrow,16.62,,26.09,7.65,0,100
1849846,SEA,NEP,TE,Colby Parkinson,0,,,,0,100
13584,PHI,LAR,WR,Alshon Jeffery,0,,,,0,100
1844332,BUF,MIA,WR,Isaiah Hodgins,0,,,,0,100
1844674,WAS,ARI,WR,Antonio Gandy-Golden,0.97,,1.94,0.02,0,100
1001711,CAR,TBB,K,Joey Slye,7.68,,10.75,3.69,0,100
13561,CHI,NYG,QB,Nick Foles,0,,,,0,100
523069,BAL,HOU,RB,Patrick Ricard,0,,,,0,100
1844773,NOS,LVR,WR,Marquez Callaway,2.56,,5.12,0.05,0,100
21552,NYJ,SFO,TE,Daniel Brown,0,,,,0,100
328706,ATL,DAL,WR,Russell Gage,8.84,3.5,15.91,0.8,0,100
35483,MIA,BUF,WR,Jakeem Grant,5.33,0.1,10.39,0.21,0,100
328488,IND,MIN,RB,Jordan Wilkins,1.88,0.1,3.52,0.73,0,100
1844362,MIA,BUF,RB,Malcolm Perry,0,,,,0,100
18126,CLE,CIN,WR,Jarvis Landry,12.78,,18.28,2.56,0,100
606799,NOS,LVR,TE,Zach Wood,0,,,,0,100
508426,LAR,PHI,QB,John Wolford,0,,,,0,100
982694,KCC,LAC,WR,Mecole Hardman,4.28,0.7,8.77,0.3,0,100
328769,NOS,LVR,T4,Tre'Quan Smith,9.04,,17.63,0.81,0,100
982511,WAS,ARI,WR,Terry McLaurin,15.61,7.2,25.91,2.19,0,100
21786,MIN,IND,QB,Sean Mannion,0,,,,0,100
1844276,GBP,DET,QB,Jordan Love,0,,,,0,100
